Ekspresi,Waktu
Happy,13:44:32
Neutral,13:44:33
Neutral,13:44:33
Neutral,13:44:33
Neutral,13:44:33
Neutral,13:44:33
Neutral,13:44:33
Neutral,13:44:33
Neutral,13:44:33
Neutral,13:44:33
Neutral,13:44:33
Neutral,13:44:33
Neutral,13:44:34
Neutral,13:44:34
Neutral,13:44:34
Neutral,13:44:34
Happy,13:44:34
Happy,13:44:34
Happy,13:44:34
Happy,13:44:34
Happy,13:44:34
Neutral,13:44:34
Happy,13:44:34
Happy,13:44:35
Happy,13:44:35
Happy,13:44:35
Happy,13:44:35
Happy,13:44:35
Happy,13:44:35
Neutral,13:44:35
Neutral,13:44:35
Neutral,13:44:35
Happy,13:44:36
Neutral,13:44:36
Happy,13:44:36
Neutral,13:44:36
Happy,13:44:36
Neutral,13:44:36
Neutral,13:44:36
Neutral,13:44:36
Neutral,13:44:37
Neutral,13:44:37
Neutral,13:44:37
Neutral,13:44:37
Neutral,13:44:37
Neutral,13:44:37
Neutral,13:44:37
Neutral,13:44:37
Neutral,13:44:37
Neutral,13:44:37
Neutral,13:44:37
Neutral,13:44:38
Neutral,13:44:38
Neutral,13:44:38
Neutral,13:44:38
Neutral,13:44:38
Neutral,13:44:38
Neutral,13:44:38
Neutral,13:44:38
Neutral,13:44:38
Neutral,13:44:38
Neutral,13:44:39
Neutral,13:44:39
Neutral,13:44:39
Neutral,13:44:39
Neutral,13:44:39
Happy,13:44:39
Happy,13:44:39
Happy,13:44:39
Happy,13:44:39
Happy,13:44:39
Happy,13:44:40
Happy,13:44:40
Happy,13:44:40
